,0
133846,FALSE
100616,FALSE
129499,FALSE
56620,FALSE
108698,FALSE
106847,FALSE
44145,FALSE
51926,FALSE
72027,FALSE
104618,FALSE
46572,FALSE
131055,FALSE
21197,FALSE
133150,FALSE
35872,FALSE
66000,FALSE
127329,FALSE
8008,FALSE
51525,FALSE
146349,FALSE
56823,FALSE
118939,TRUE
35288,FALSE
129832,TRUE
149247,FALSE
106920,TRUE
88912,TRUE
135850,FALSE
113110,FALSE
55507,FALSE
19893,FALSE
26983,FALSE
125672,TRUE
80029,FALSE
70193,FALSE
68888,FALSE
54893,FALSE
81150,FALSE
58795,FALSE
86185,FALSE
144586,FALSE
50691,FALSE
15635,FALSE
133573,FALSE
124956,FALSE
86317,FALSE
24114,FALSE
109930,TRUE
112173,FALSE
97877,FALSE
9774,FALSE
31721,FALSE
4878,TRUE
83373,FALSE
88761,FALSE
108005,FALSE
34227,FALSE
9975,FALSE
84704,FALSE
79659,TRUE
69038,FALSE
95135,FALSE
2505,TRUE
127350,TRUE
94027,TRUE
42976,FALSE
124257,FALSE
118481,FALSE
111220,FALSE
115516,FALSE
107090,FALSE
69935,TRUE
20890,FALSE
33986,FALSE
119091,FALSE
144062,FALSE
64562,FALSE
67748,FALSE
48590,TRUE
57526,FALSE
19735,FALSE
46198,FALSE
114530,TRUE
6454,FALSE
57818,FALSE
87098,TRUE
34941,TRUE
11461,FALSE
31729,FALSE
98032,FALSE
30228,TRUE
16540,TRUE
146053,TRUE
124990,TRUE
111752,FALSE
50947,FALSE
93924,FALSE
121200,TRUE
71638,TRUE
79321,FALSE
43516,FALSE
33294,FALSE
71311,FALSE
136692,FALSE
60688,TRUE
148952,TRUE
117,FALSE
54608,FALSE
54919,FALSE
69168,TRUE
95054,FALSE
124799,FALSE
123587,FALSE
2495,FALSE
75611,TRUE
91161,FALSE
29537,FALSE
4597,FALSE
21286,FALSE
86168,FALSE
42522,TRUE
8601,TRUE
39538,TRUE
99670,FALSE
122314,FALSE
145565,TRUE
54201,FALSE
50633,FALSE
118932,TRUE
26915,FALSE
106091,FALSE
17417,FALSE
5003,FALSE
138198,TRUE
36314,TRUE
79288,TRUE
36151,FALSE
131602,FALSE
58545,FALSE
11535,TRUE
105564,FALSE
104088,TRUE
126258,TRUE
118816,TRUE
121447,TRUE
80971,FALSE
5399,FALSE
260,FALSE
39617,TRUE
45030,FALSE
138399,FALSE
66613,FALSE
64483,FALSE
109493,TRUE
84024,FALSE
143799,FALSE
59503,FALSE
90977,FALSE
132329,FALSE
140375,TRUE
38600,FALSE
56069,FALSE
143228,FALSE
124831,FALSE
100583,TRUE
87289,FALSE
44411,FALSE
6450,FALSE
40811,FALSE
43643,FALSE
147610,FALSE
58660,TRUE
80785,FALSE
10665,FALSE
105211,TRUE
53999,FALSE
38348,FALSE
138694,FALSE
129294,FALSE
12621,TRUE
79469,FALSE
85252,FALSE
99102,TRUE
78502,TRUE
1059,FALSE
92441,TRUE
89696,FALSE
62031,FALSE
13678,FALSE
135045,TRUE
100594,FALSE
96658,TRUE
133381,FALSE
149765,FALSE
378,FALSE
74812,FALSE
24689,FALSE
47469,FALSE
58439,FALSE
101963,FALSE
113239,TRUE
83153,FALSE
44129,FALSE
16240,FALSE
101896,FALSE
32336,FALSE
149916,FALSE
92429,FALSE
72775,TRUE
80575,FALSE
27061,FALSE
99586,FALSE
9320,FALSE
112335,FALSE
98982,FALSE
92964,FALSE
106273,FALSE
57689,FALSE
36708,TRUE
112915,FALSE
33482,FALSE
86102,TRUE
75430,FALSE
71254,FALSE
112630,FALSE
110640,FALSE
142002,TRUE
89275,FALSE
102857,FALSE
115166,FALSE
124310,FALSE
35683,TRUE
136836,FALSE
112125,FALSE
121838,FALSE
70753,FALSE
69062,FALSE
117728,FALSE
106963,FALSE
67481,FALSE
17995,FALSE
138787,FALSE
137090,TRUE
134192,FALSE
133974,FALSE
92596,FALSE
37153,TRUE
92620,FALSE
96843,FALSE
141935,FALSE
109802,FALSE
87115,FALSE
82218,FALSE
41165,FALSE
78318,TRUE
43814,FALSE
2888,TRUE
62381,FALSE
59181,FALSE
23330,FALSE
37771,TRUE
14649,FALSE
101259,FALSE
91854,TRUE
149507,FALSE
130128,FALSE
97668,FALSE
107298,TRUE
60248,FALSE
54805,FALSE
73166,FALSE
134879,FALSE
92114,FALSE
64923,TRUE
46765,FALSE
34242,FALSE
22563,TRUE
33261,TRUE
76073,FALSE
69927,FALSE
141745,FALSE
70895,FALSE
62458,FALSE
16062,FALSE
60798,FALSE
143085,FALSE
5330,FALSE
133649,TRUE
130594,FALSE
93206,FALSE
130040,FALSE
56859,FALSE
112116,FALSE
25506,FALSE
76079,FALSE
33171,FALSE
98342,FALSE
116678,TRUE
145634,FALSE
104045,FALSE
18539,FALSE
80313,FALSE
134587,FALSE
47174,FALSE
97320,FALSE
94121,FALSE
120293,FALSE
145894,FALSE
36611,FALSE
121622,TRUE
62983,FALSE
77153,TRUE
51100,FALSE
97316,TRUE
84198,FALSE
50306,FALSE
26016,FALSE
61251,FALSE
40208,FALSE
99825,FALSE
49716,FALSE
14311,FALSE
63895,TRUE
70937,FALSE
130889,FALSE
16499,FALSE
40892,TRUE
3945,FALSE
52866,FALSE
19308,FALSE
22663,FALSE
121252,TRUE
81474,FALSE
82025,FALSE
44177,FALSE
21049,FALSE
103990,FALSE
74896,TRUE
226,FALSE
79276,FALSE
133397,TRUE
81716,TRUE
96173,FALSE
15299,FALSE
95151,FALSE
138190,FALSE
8850,FALSE
147062,TRUE
116941,FALSE
113956,TRUE
9917,FALSE
949,FALSE
25129,FALSE
47087,FALSE
105618,FALSE
45340,TRUE
53009,FALSE
57424,FALSE
57438,FALSE
76311,FALSE
50900,TRUE
123994,TRUE
43626,FALSE
112322,TRUE
81458,FALSE
126338,FALSE
49328,FALSE
70140,TRUE
32652,TRUE
47466,FALSE
119516,FALSE
41865,FALSE
16286,FALSE
136546,FALSE
86007,FALSE
12284,TRUE
67739,FALSE
100183,FALSE
54832,FALSE
34661,FALSE
18956,FALSE
127311,FALSE
23252,TRUE
57046,FALSE
30390,TRUE
67544,FALSE
100642,TRUE
116645,FALSE
24515,FALSE
103676,FALSE
27053,FALSE
132938,FALSE
140904,FALSE
117005,TRUE
110981,TRUE
119819,TRUE
121241,FALSE
134389,FALSE
115715,TRUE
73796,FALSE
93241,FALSE
131740,FALSE
139484,FALSE
33769,TRUE
69383,TRUE
32362,FALSE
145608,FALSE
41414,FALSE
127620,TRUE
48497,FALSE
145158,FALSE
19161,FALSE
71845,FALSE
145193,FALSE
67826,FALSE
87104,TRUE
29122,TRUE
34182,FALSE
72231,TRUE
62954,TRUE
122205,TRUE
63941,FALSE
57898,TRUE
67571,FALSE
107072,FALSE
96110,FALSE
125835,FALSE
50042,FALSE
19561,FALSE
39217,FALSE
121938,FALSE
146415,FALSE
130584,TRUE
31838,TRUE
136325,FALSE
26241,TRUE
42916,FALSE
115030,FALSE
94229,TRUE
148044,FALSE
65065,FALSE
129337,FALSE
116173,FALSE
98931,FALSE
111396,FALSE
87153,FALSE
98882,TRUE
29953,FALSE
36291,FALSE
96237,FALSE
22268,FALSE
65212,FALSE
127254,TRUE
43735,FALSE
75442,FALSE
47161,FALSE
75456,FALSE
